Scene,Folder,p,q,Jaccard,Precision,Recall,argminC,avgConf,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0, 0.2]","[0, 1]",1,1,1,-0.830593891,0.237970014,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0.2, 0.4]","[0, 1]",1,1,1,-1,0.550979038,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0.4, 0.6]","[0, 1]",1,1,1,-1,0.676132658,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0.6, 0.8]","[0, 1]",1,1,1,-1,0.430363451,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0.8, 1.0]","[0, 1]",1,1,1,-1,0.570105248,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0, 0.2]","[0, 1]",0.7,0.254361658,0.254361658,-0.982934359,0.104284327,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0.2, 0.4]","[0, 1]",0.4,0.236607498,0.236607498,-1,0.141420945,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0.4, 0.6]","[0, 1]",0.75,0.236607498,0.236607498,-1,0.150539471,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0.6, 0.8]","[0, 1]",1,1,1,-0.975,0.975,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0.8, 1.0]","[0, 1]",1,0.18404074,0.18404074,-0.788404385,0.8,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0, 0.2]","[0, 1]",0.4,0.207081452,0.207081452,-0.973507493,0.081102067,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0.2, 0.4]","[0, 1]",0.9,0.414386392,0.414386392,-0.881481481,0.85,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0.4, 0.6]","[0, 1]",0.8,0.30033883,0.30033883,-1,0.845310163,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0.6, 0.8]","[0, 1]",1,1,1,-0.997795691,0.816228757,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0.8, 1.0]","[0, 1]",1,0.414386392,0.414386392,-1,1,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0, 0.2]","[0, 1]",1,0.237227149,0.237227149,-0.941875,0.96,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0.2, 0.4]","[0, 1]",0.7,0.619043921,0.619043921,-1,0.304387352,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0.4, 0.6]","[0, 1]",1,0.393396721,0.786793442,0.670413323,0.259473119,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0.6, 0.8]","[0, 1]",1,1,1,-0.900596698,0.675048634,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0.8, 1.0]","[0, 1]",1,0.393396721,0.786793442,0.606906061,0.262189886,,,,,,,,,,,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.290470455,0.290470455,0.099883995,0.523577452,,,,,,,,,,,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.150395777,0.225593665,0.549238006,0.590411953,,,,,,,,,,,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.350264489,0.175132245,-0.78254492,0.335691244,,,,,,,,,,,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.300105929,0.450158894,0.530030653,0.564295324,,,,,,,,,,,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.447886773,0.447886773,0.232994271,0.66538509,,,,,,,,,,,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.275504555,0.275504555,0.117008493,0.467819015,,,,,,,,,,,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",1,0.328848255,0.493272383,0.513998473,0.55741173,,,,,,,,,,,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",1,0.297730912,0.446596367,0.506128883,0.48682845,,,,,,,,,,,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.55097217,0.55097217,0.437065219,0.434955142,,,,,,,,,,,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",0.9,0.491145207,0.245572603,-0.602221044,0.348635656,,,,,,,,,,,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.228509885,0.228509885,0.507862297,0.473063562,,,,,,,,,,,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.640253931,0.640253931,0.168899865,0.458444554,,,,,,,,,,,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",1,0.40633527,0.609502905,0.530016772,0.49260414,,,,,,,,,,,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",1,0.626000601,0.626000601,0.27623554,0.415055636,,,,,,,,,,,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.602440965,0.602440965,0.082558426,0.711613358,,S5,0.4-0.6,,,,,,,,,,,,,,,,,,,,
SamNum,10,min_support,0.3,gamma,0.6,avg_Recall,0.42052456,,,Presicion,10,20,30,40,50,60,70,80,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.279753935,0.279753935,0.103658125,0.556069327,,,0.279753935,0.455084104,0.337093593,0.284686181,0.435646851,0.340382144,0.377301653,0.414088153,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.147624277,0.147624277,0.443227659,0.64622777,,,0.147624277,0.224426304,0.274514938,0.28257226,0.248298791,0.224863727,0.231696759,0.269216096,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.639257319,0.639257319,0.434119121,0.79897662,,,0.639257319,0.579369344,0.539195387,0.407304515,0.395629462,0.524091432,0.48996849,0.464517753,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.267065519,0.267065519,0.26200784,0.704874476,,,0.267065519,0.243494342,0.291222827,0.313049785,0.391764473,0.41691615,0.363136356,0.452338982,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.375106603,0.375106603,0.209689963,0.618767898,,,0.375106603,0.516910865,0.532011094,0.512987485,0.591908379,0.674071177,0.50187953,0.566067219,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.276057542,0.276057542,0.101052929,0.634815491,,,0.276057542,0.308286483,0.380380931,0.322083999,0.258606508,0.284451618,0.271904802,0.306981043,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",1,0.505763566,0.505763566,0.496554678,0.591246736,,,0.505763566,0.524255023,0.505173017,0.449742428,0.483405791,0.485113871,0.50956523,0.564162799,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",0.9,0.439683068,0.439683068,0.323772177,0.540747704,,,0.439683068,0.423710083,0.378522722,0.393174545,0.404379539,0.469261771,0.400087844,0.408127272,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.35876068,0.35876068,0.481853642,0.390802292,,,0.35876068,0.532336324,0.508409559,0.496747047,0.473476827,0.477280533,0.510790062,0.56685693,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",1,0.405748602,0.405748602,0.3872613,0.49353586,,,0.405748602,0.407761163,0.385042257,0.271840776,0.284299604,0.297516301,0.298445959,0.285338683,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.281021304,0.281021304,0.538521449,0.607534122,,,0.281021304,0.157004262,0.251862903,0.210534214,0.222965575,0.30172431,0.223217945,0.201543886,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.542697095,0.542697095,0.405855229,0.519035599,,,0.542697095,0.474040839,0.510510869,0.335788039,0.538766456,0.491703368,0.433433163,0.503536962,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",1,0.468588205,0.468588205,0.69877056,0.496517796,,,0.468588205,0.401572531,0.250544091,0.42841243,0.240823187,0.336268977,0.486002345,0.263265428,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",1,0.65715823,0.65715823,0.16187525,0.427292707,,,0.65715823,0.63495437,0.688652534,0.743470258,0.674862146,0.674071177,0.674862146,0.747642316,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.59596677,0.59596677,0.003330333,0.567668574,,,0.59596677,0.61759066,0.617503294,0.61759066,0.624416593,0.601439058,0.578098817,0.601439058,,,,,,,,,,,,,
SamNum,10,min_support,0.3,gamma,0.8,avg_Recall,0.416016848,,,Recall,,,,,,,,,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.455084104,0.455084104,0.512074776,0.467253621,,CC,10,20,30,40,50,60,70,80,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.224426304,0.336639456,0.759059128,0.343846615,,,0.103658125,0.512074776,0.135171676,0.364444958,0.326948774,0.271858793,0.343441063,0.35927077,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.579369344,0.579369344,0.749623088,0.475166735,,,0.443227659,0.759059128,0.356353591,0.602317931,0.431889674,0.478735162,0.494366849,0.441801372,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.243494342,0.243494342,0.271555416,0.661587357,,,0.434119121,0.749623088,0.77781541,0.782793719,0.752807349,-0.835249696,-0.910546991,-0.851127256,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.516910865,0.516910865,0.267956743,0.530794953,,,0.26200784,0.271555416,0.326251619,0.28586999,0.359167555,0.307282314,0.262184105,0.338326313,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.308286483,0.308286483,0.209182625,0.484784301,,,0.209689963,0.267956743,0.30592806,0.340002413,0.304011013,0.312857165,0.252510122,0.243253376,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",0.95,0.524255023,0.524255023,0.566952678,0.468866497,,,0.101052929,0.209182625,0.185313692,0.313777053,0.271704823,0.141770492,0.177883638,0.213197806,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",1,0.423710083,0.423710083,0.36073215,0.538088609,,,0.496554678,0.566952678,0.376140171,0.367176849,0.393215519,0.353120229,0.445035135,0.404072853,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.532336324,0.532336324,0.456969784,0.413131428,,,0.323772177,0.36073215,0.463993401,0.438916363,0.398047869,0.465609511,0.449625918,0.521446367,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",1,0.407761163,0.407761163,0.539988895,0.547365996,,,0.481853642,0.456969784,0.687493097,0.600427825,0.610397067,0.516560209,0.66869316,0.612518379,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.157004262,0.235506393,0.767249258,0.575095297,,,0.3872613,0.539988895,0.436252132,0.693481124,0.714069923,0.769437663,0.716499617,0.746920712,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.474040839,0.474040839,0.419525984,0.370183902,,,0.538521449,0.767249258,0.722105731,0.549647015,0.580523271,0.681608493,-0.800789325,0.783258691,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",1,0.401572531,0.401572531,0.436854312,0.43786813,,,0.405855229,0.419525984,0.385105709,0.455101852,0.416287309,0.343787465,0.324631595,0.497047456,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",1,0.63495437,0.63495437,0.429175304,0.638435242,,,0.69877056,0.436854312,0.72304791,0.659662497,0.7763826,0.70106183,0.681712126,0.753245101,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.61759066,0.61759066,0.190840171,0.632604343,,,0.16187525,0.429175304,0.232950228,0.222844134,0.472236403,0.272958751,0.424280945,0.320206131,,,,,,,,,,,,,
SamNum,20,min_support,0.3,gamma,0.8,avg_Recall,0.446100799,,,,0.003330333,0.190840171,0.222385977,0.250782309,0.296643848,0.24460485,0.428085073,0.304997323,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.337093593,0.337093593,0.135171676,0.457750318,,,,,,,,,,,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.274514938,0.274514938,0.356353591,0.491683479,,,,,,,,,,,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.539195387,0.539195387,0.77781541,0.534223794,,,,,,,,,,,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.291222827,0.291222827,0.326251619,0.499873869,,,,,,,,,,,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.532011094,0.532011094,0.30592806,0.571738126,,,,,,,,,,,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.380380931,0.380380931,0.185313692,0.444688658,,,,,,,,,,,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",1,0.505173017,0.505173017,0.376140171,0.499786257,,,,,,,,,,,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",1,0.378522722,0.378522722,0.463993401,0.480502611,,,,,,,,,,,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.508409559,0.508409559,0.687493097,0.426663732,,,,,,,,,,,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",0.966666667,0.385042257,0.385042257,0.436252132,0.57839998,,,,,,,,,,,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.251862903,0.251862903,0.722105731,0.450220139,,,,,,,,,,,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.510510869,0.510510869,0.385105709,0.43022049,,,,,,,,,,,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",0.966666667,0.250544091,0.375816137,0.72304791,0.474995618,,,,,,,,,,,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",1,0.688652534,0.688652534,0.232950228,0.440246574,,,,,,,,,,,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.617503294,0.617503294,0.222385977,0.604367051,,,,,,,,,,,,,,,,,,,,,,,
SamNum,30,min_support,0.3,gamma,0.8,avg_Recall,0.438394138,,,,,,,,,,,,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.284686181,0.284686181,0.364444958,0.402171796,,,,,,,,,,,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.28257226,0.28257226,0.602317931,0.510220346,,,,,,,,,,,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.407304515,0.610956772,0.782793719,0.681241151,,,,,,,,,,,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.313049785,0.313049785,0.28586999,0.59287488,,,,,,,,,,,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.512987485,0.512987485,0.340002413,0.392515124,,,,,,,,,,,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.322083999,0.322083999,0.313777053,0.399865357,,,,,,,,,,,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",0.9,0.449742428,0.449742428,0.367176849,0.424952904,,,,,,,,,,,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",0.95,0.393174545,0.393174545,0.438916363,0.510457394,,,,,,,,,,,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.496747047,0.496747047,0.600427825,0.382707198,,,,,,,,,,,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",0.975,0.271840776,0.407761163,0.693481124,0.498301072,,,,,,,,,,,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.210534214,0.210534214,0.549647015,0.413711993,,,,,,,,,,,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.335788039,0.335788039,0.455101852,0.498981885,,,,,,,,,,,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",1,0.42841243,0.42841243,0.659662497,0.489845111,,,,,,,,,,,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",1,0.743470258,0.743470258,0.222844134,0.485776831,,,,,,,,,,,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.61759066,0.61759066,0.250782309,0.425239054,,,,,,,,,,,,,,,,,,,,,,,
SamNum,40,min_support,0.3,gamma,0.8,avg_Recall,0.427303818,,,,,,,,,,,,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.435646851,0.435646851,0.326948774,0.601273305,,,,,,,,,,,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.248298791,0.248298791,0.431889674,0.625811614,,,,,,,,,,,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.395629462,0.593444192,0.752807349,0.594595245,,,,,,,,,,,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.391764473,0.391764473,0.359167555,0.556950929,,,,,,,,,,,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.591908379,0.591908379,0.304011013,0.526189071,,,,,,,,,,,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.258606508,0.258606508,0.271704823,0.383227422,,,,,,,,,,,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",0.94,0.483405791,0.483405791,0.393215519,0.455835622,,,,,,,,,,,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",1,0.404379539,0.404379539,0.398047869,0.609031185,,,,,,,,,,,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.473476827,0.473476827,0.610397067,0.368249334,,,,,,,,,,,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",0.9,0.284299604,0.426449406,0.714069923,0.739365094,,,,,,,,,,,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.222965575,0.222965575,0.580523271,0.403027406,,,,,,,,,,,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.538766456,0.538766456,0.416287309,0.366139411,,,,,,,,,,,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",0.92,0.240823187,0.36123478,0.7763826,0.379747138,,,,,,,,,,,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",0.98,0.674862146,0.674862146,0.472236403,0.438534707,,,,,,,,,,,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.624416593,0.624416593,0.296643848,0.549214559,,,,,,,,,,,,,,,,,,,,,,,
SamNum,50,min_support,0.3,gamma,0.8,avg_Recall,0.448641754,,,,,,,,,,,,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.340382144,0.340382144,0.271858793,0.470214057,,,,,,,,,,,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.224863727,0.224863727,0.478735162,0.529148111,,,,,,,,,,,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.524091432,0.262045716,-0.835249696,0.470805297,,,,,,,,,,,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.41691615,0.41691615,0.307282314,0.502938062,,,,,,,,,,,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.674071177,0.674071177,0.312857165,0.464670897,,,,,,,,,,,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.284451618,0.284451618,0.141770492,0.422169164,,,,,,,,,,,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",0.933333333,0.485113871,0.485113871,0.353120229,0.456209641,,,,,,,,,,,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",1,0.469261771,0.469261771,0.465609511,0.599028946,,,,,,,,,,,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.477280533,0.477280533,0.516560209,0.388097988,,,,,,,,,,,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",1,0.297516301,0.446274452,0.769437663,0.742361273,,,,,,,,,,,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",0.983333333,0.30172431,0.30172431,0.681608493,0.565586856,,,,,,,,,,,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.491703368,0.491703368,0.343787465,0.461381183,,,,,,,,,,,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",0.966666667,0.336268977,0.504403466,0.70106183,0.523588858,,,,,,,,,,,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",0.966666667,0.674071177,0.674071177,0.272958751,0.41169712,,,,,,,,,,,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.601439058,0.601439058,0.24460485,0.506391859,,,,,,,,,,,,,,,,,,,,,,,
SamNum,60,min_support,0.3,gamma,0.8,avg_Recall,0.443600169,,,,,,,,,,,,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.377301653,0.377301653,0.343441063,0.475674853,,,,,,,,,,,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.231696759,0.231696759,0.494366849,0.570677491,,,,,,,,,,,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.48996849,0.244984245,-0.910546991,0.445097049,,,,,,,,,,,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.363136356,0.363136356,0.262184105,0.547500126,,,,,,,,,,,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.50187953,0.50187953,0.252510122,0.465301309,,,,,,,,,,,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.271904802,0.271904802,0.177883638,0.537136045,,,,,,,,,,,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",0.985714286,0.50956523,0.50956523,0.445035135,0.469263881,,,,,,,,,,,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",1,0.400087844,0.400087844,0.449625918,0.501761961,,,,,,,,,,,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.510790062,0.510790062,0.66869316,0.510785196,,,,,,,,,,,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",0.971428571,0.298445959,0.447668939,0.716499617,0.721051939,,,,,,,,,,,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.223217945,0.111608972,-0.800789325,0.373943466,,,,,,,,,,,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.433433163,0.433433163,0.324631595,0.514524165,,,,,,,,,,,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",0.971428571,0.486002345,0.486002345,0.681712126,0.469632148,,,,,,,,,,,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",1,0.674862146,0.674862146,0.424280945,0.539942169,,,,,,,,,,,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.578098817,0.578098817,0.428085073,0.520006099,,,,,,,,,,,,,,,,,,,,,,,
SamNum,70,min_support,0.3,gamma,0.8,avg_Recall,0.409534724,,,,,,,,,,,,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.414088153,0.414088153,0.35927077,0.467126,,,,,,,,,,,,,,,,,,,,,,,
